,tickers
0,A
1,AAL
2,AAP
3,AAPL
4,ABBV
5,ABC
6,ABMD
7,ABT
8,ACN
9,ADBE
10,ADI
11,ADM
12,ADP
13,ADSK
14,AEE
15,AEP
16,AES
17,AFL
18,AIG
19,AIV
20,AIZ
21,AJG
22,AKAM
23,ALB
24,ALGN
25,ALK
26,ALL
27,ALLE
28,ALXN
29,AMAT
30,AMCR
31,AMD
32,AME
33,AMGN
34,AMP
35,AMT
36,AMZN
37,ANET
38,ANSS
39,ANTM
40,AON
41,AOS
42,APA
43,APD
44,APH
45,APTV
46,ARE
47,ATO
48,ATVI
49,AVB
50,AVGO
51,AVY
52,AWK
53,AXP
54,AZO
55,BA
56,BAC
57,BAX
58,BBY
59,BDX
60,BEN
61,BF-B
62,BIIB
63,BIO
64,BK
65,BKNG
66,BKR
67,BLK
68,BLL
69,BMY
70,BR
71,BRK-B
72,BSX
73,BWA
74,BXP
75,C
76,CAG
77,CAH
78,CARR
79,CAT
80,CB
81,CBOE
82,CBRE
83,CCI
84,CCL
85,CDNS
86,CDW
87,CE
88,CERN
89,CF
90,CFG
91,CHD
92,CHRW
93,CHTR
94,CI
95,CINF
96,CL
97,CLX
98,CMA
99,CMCSA
100,CME
101,CMG
102,CMI
103,CMS
104,CNC
105,CNP
106,COF
107,COG
108,COO
109,COP
110,COST
111,CPB
112,CPRT
113,CRM
114,CSCO
115,CSX
116,CTAS
117,CTLT
118,CTSH
119,CTVA
120,CTXS
121,CVS
122,CVX
123,CXO
124,D
125,DAL
126,DD
127,DE
128,DFS
129,DG
130,DGX
131,DHI
132,DHR
133,DIS
134,DISCA
135,DISCK
136,DISH
137,DLR
138,DLTR
139,DOV
140,DOW
141,DPZ
142,DRE
143,DRI
144,DTE
145,DUK
146,DVA
147,DVN
148,DXC
149,DXCM
150,EA
151,EBAY
152,ECL
153,ED
154,EFX
155,EIX
156,EL
157,EMN
158,EMR
159,EOG
160,EQIX
161,EQR
162,ES
163,ESS
164,ETN
165,ETR
166,ETSY
167,EVRG
168,EW
169,EXC
170,EXPD
171,EXPE
172,EXR
173,F
174,FANG
175,FAST
176,FB
177,FBHS
178,FCX
179,FDX
180,FE
181,FFIV
182,FIS
183,FISV
184,FITB
185,FLIR
186,FLS
187,FLT
188,FMC
189,FOX
190,FOXA
191,FRC
192,FRT
193,FTI
194,FTNT
195,FTV
196,GD
197,GE
198,GILD
199,GIS
200,GL
201,GLW
202,GM
203,GOOG
204,GOOGL
205,GPC
206,GPN
207,GPS
208,GRMN
209,GS
210,GWW
211,HAL
212,HAS
213,HBAN
214,HBI
215,HCA
216,HD
217,HES
218,HFC
219,HIG
220,HII
221,HLT
222,HOLX
223,HON
224,HPE
225,HPQ
226,HRL
227,HSIC
228,HST
229,HSY
230,HUM
231,HWM
232,IBM
233,ICE
234,IDXX
235,IEX
236,IFF
237,ILMN
238,INCY
239,INFO
240,INTC
241,INTU
242,IP
243,IPG
244,IPGP
245,IQV
246,IR
247,IRM
248,ISRG
249,IT
250,ITW
251,IVZ
252,J
253,JBHT
254,JCI
255,JKHY
256,JNJ
257,JNPR
258,JPM
259,K
260,KEY
261,KEYS
262,KHC
263,KIM
264,KLAC
265,KMB
266,KMI
267,KMX
268,KO
269,KR
270,KSU
271,L
272,LB
273,LDOS
274,LEG
275,LEN
276,LH
277,LHX
278,LIN
279,LKQ
280,LLY
281,LMT
282,LNC
283,LNT
284,LOW
285,LRCX
286,LUMN
287,LUV
288,LVS
289,LW
290,LYB
291,LYV
292,MA
293,MAA
294,MAR
295,MAS
296,MCD
297,MCHP
298,MCK
299,MCO
300,MDLZ
301,MDT
302,MET
303,MGM
304,MHK
305,MKC
306,MKTX
307,MLM
308,MMC
309,MMM
310,MNST
311,MO
312,MOS
313,MPC
314,MRK
315,MRO
316,MS
317,MSCI
318,MSFT
319,MSI
320,MTB
321,MTD
322,MU
323,MXIM
324,NCLH
325,NDAQ
326,NEE
327,NEM
328,NFLX
329,NI
330,NKE
331,NLOK
332,NLSN
333,NOC
334,NOV
335,NOW
336,NRG
337,NSC
338,NTAP
339,NTRS
340,NUE
341,NVDA
342,NVR
343,NWL
344,NWS
345,NWSA
346,O
347,ODFL
348,OKE
349,OMC
350,ORCL
351,ORLY
352,OTIS
353,OXY
354,PAYC
355,PAYX
356,PBCT
357,PCAR
358,PEAK
359,PEG
360,PEP
361,PFE
362,PFG
363,PG
364,PGR
365,PH
366,PHM
367,PKG
368,PKI
369,PLD
370,PM
371,PNC
372,PNR
373,PNW
374,POOL
375,PPG
376,PPL
377,PRGO
378,PRU
379,PSA
380,PSX
381,PVH
382,PWR
383,PXD
384,PYPL
385,QCOM
386,QRVO
387,RCL
388,RE
389,REG
390,REGN
391,RF
392,RHI
393,RJF
394,RL
395,RMD
396,ROK
397,ROL
398,ROP
399,ROST
400,RSG
401,RTX
402,SBAC
403,SBUX
404,SCHW
405,SEE
406,SHW
407,SIVB
408,SJM
409,SLB
410,SLG
411,SNA
412,SNPS
413,SO
414,SPG
415,SPGI
416,SRE
417,STE
418,STT
419,STX
420,STZ
421,SWK
422,SWKS
423,SYF
424,SYK
425,SYY
426,T
427,TAP
428,TDG
429,TDY
430,TEL
431,TER
432,TFC
433,TFX
434,TGT
435,TIF
436,TJX
437,TMO
438,TMUS
439,TPR
440,TROW
441,TRV
442,TSCO
443,TSN
444,TT
445,TTWO
446,TWTR
447,TXN
448,TXT
449,TYL
450,UA
451,UAA
452,UAL
453,UDR
454,UHS
455,ULTA
456,UNH
457,UNM
458,UNP
459,UPS
460,URI
461,USB
462,V
463,VAR
464,VFC
465,VIAC
466,VLO
467,VMC
468,VNO
469,VNT
470,VRSK
471,VRSN
472,VRTX
473,VTR
474,VTRS
475,VZ
476,WAB
477,WAT
478,WBA
479,WDC
480,WEC
481,WELL
482,WFC
483,WHR
484,WLTW
485,WM
486,WMB
487,WMT
488,WRB
489,WRK
490,WST
491,WU
492,WY
493,WYNN
494,XEL
495,XLNX
496,XOM
497,XRAY
498,XRX
499,XYL
500,YUM
501,ZBH
502,ZBRA
503,ZION
504,ZTS
